Subject	MaskDur	Amplitude	Threshold_RelVel
6	0.2	4	0.560591884716531
6	0.2	6	0.444816781180592
6	0.2	8	0.44411449181278
6	0.2	10	0.538664778927218
6	0.2	12	0.47640668171282
7	0	4	1.21677582153296
7	0	6	0.897201496000653
7	0	8	0.701363494745329
7	0	10	0.567810061488364
7	0	12	0.51856900991157
7	0.013	4	0.566862096974885
7	0.013	6	0.570140668834059
7	0.013	8	0.523281486409356
7	0.013	10	0.54530759218805
7	0.013	12	0.49721238232028
7	0.05	4	0.539890138304088
7	0.05	6	0.519562745344158
7	0.05	8	0.576025042509693
7	0.05	10	0.530353334004219
7	0.05	12	0.505290400018041
7	0.2	4	0.537834820791165
7	0.2	6	0.536408863508815
7	0.2	8	0.513072596519886
7	0.2	10	0.470966608764849
7	0.2	12	0.488342036506213
8	0	4	1.3549188849743
8	0	6	1.03112769539707
8	0	8	0.89383913680576
8	0	10	0.719945392935403
8	0	12	0.604956640840916
8	0.013	4	0.692146965276675
8	0.013	6	0.688889042936401
8	0.013	8	0.704902341559899
8	0.013	10	0.620384879460334
8	0.013	12	0.566502005635955
8	0.05	4	0.558419071622984
8	0.05	6	0.616075261837034
8	0.05	8	0.648829732427556
8	0.05	10	0.603487961449517
8	0.05	12	0.505101379340201
8	0.2	4	0.583911826907854
8	0.2	6	0.569545873263013
8	0.2	8	0.611279420895722
8	0.2	10	0.592732063552514
8	0.2	12	0.592752623817709
9	0	4	1.1156373304183
9	0	6	0.796914109501395
9	0	8	0.67230006429724
9	0	10	0.637083456735255
9	0	12	0.562893756686645
9	0.013	4	0.570745644499236
9	0.013	6	0.582427565380781
9	0.013	8	0.564997469007936
9	0.013	10	0.540022631905861
9	0.013	12	0.495806280281038
9	0.05	4	0.546456243525267
9	0.05	6	0.535340636863333
9	0.05	8	0.519946972810792
9	0.05	10	0.521900690103077
9	0.05	12	0.50497178626281
9	0.2	4	0.561452668302631
9	0.2	6	0.545538276194586
9	0.2	8	0.527879028307576
9	0.2	10	0.52211254368342
9	0.2	12	0.530417058758295
10	0	4	1.2881656510491
10	0	6	0.84121043395392
10	0	8	0.703539755843593
10	0	10	0.575896768148909
10	0	12	0.54103345655551
10	0.013	4	0.556167306070198
10	0.013	6	0.541265332850061
10	0.013	8	0.544990492556341
10	0.013	10	0.522291282251465
10	0.013	12	0.493166950044431
10	0.05	4	0.49999634570469
10	0.05	6	0.496875505204587
10	0.05	8	0.4691653984673
10	0.05	10	0.502844662177173
10	0.05	12	0.503923806040222
10	0.2	4	0.507863306027566
10	0.2	6	0.4588515356564
10	0.2	8	0.489254503820465
10	0.2	10	0.466862234673752
10	0.2	12	0.486474926908235
11	0	4	1.10839942892757
11	0	6	0.78049052902258
11	0	8	0.653548054110734
11	0	10	0.58595326750603
11	0	12	0.523597891801167
11	0.013	4	0.622046123539215
11	0.013	6	0.562493035208665
11	0.013	8	0.565610016295456
11	0.013	10	0.56567048373696
11	0.013	12	0.48995622719425
11	0.05	4	0.562060073936099
11	0.05	6	0.539557556655724
11	0.05	8	0.51762618861552
11	0.05	10	0.504997845169585
11	0.05	12	0.50341543085038
11	0.2	4	0.553951994685377
11	0.2	6	0.508979394061694
11	0.2	8	0.5413795503351
11	0.2	10	0.537393423009879
11	0.2	12	0.493520531819845
